,researcher_name,skills
0,"Agostinelli, Forest",['artificial intelligence deep learning reinforcement learning search bioinformatics']
1,"Ahmad, Iftikhar",['previous position senior scientist sensor electronic technology inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan boron nitride gallium oxide fabrication novel high power electronic photonic device computer simulation device']
2,"Alexeev, Oleg S.",['ph boreskov institute catalysis novosibirsk russiam novosibirsk state novosibirsk russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant product reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface structure metal cluster support influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique including tpd tpr ftir xps hrtem xrd uv visible exafs used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size structure active site structure metal support interface']
3,"Ali, Mohammod",['swearingenroom main streetcolumbia sc mohammod ali professor department electrical engineering usc july ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical communication cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology dhaka received sc ph degree electrical engineering respectively victoria british columbia canada']
4,"Ammal, Salai C.",['cv dr ammal pdfph bharathidasan india bharathidasan india']
5,"Bakos, Jason D. ",['computer architecture reconfigurable computing heterogeneous computing high performance computing embedded system']
6,"Banerjee, Sourav ",['wave propagation ultrasonics acoustic metamaterials biomedical']
7,"Bayat, Mahmoud",['structural health monitoring probabilistic analysis nonlinear vibration machine learning earthquake eng']
8,"Bayoumi, Abdel-Moez E. ",['main streetroom sc bayoumi ha year teaching industry experience currently director mcnair aerospace center director center predictive maintenance associate dean corporate relation professor mechanical biomedical engineering prior joining usc wa professor mechanical aerospace engineering north state project manager hewlett packard company professor mechanical material engineering washington state ha actively involved developing strong program mechanical biomedical nuclear aerospace engineering activity focused mechanical behavior material tribology diagnosis prognosis life prediction mechanical system manufacturing process health monitoring system condition based maintenance digital transformation dr bayoumi ha received funding department defense department energy national science foundation various industry ha published journal conference paper']
9,"Benigni, Andrea",['swearingenroom main streetcolumbia sc']
10,"Berge, Nicole D.",['main street room berge focus improving understanding physical chemical biological process manipulated promote sustainable waste treatment technique lead carbon sequestration energy generation value added product production specific area exploration fate disposed nanomaterials pharmaceutical personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology']
