,researcher_name,skills
0,"Agostinelli, Forest","{'deep learning', 'search', 'bioinformatics', 'reinforcement learning', 'artificial intelligence'}"
1,"Ahmad, Iftikhar","{'growth study', 'electronic technology', 'position senior', 'aluminum content', 'wide bandgap', 'high aluminum', 'texas tech', 'inc ph', 'content algan', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'novel high', 'tech universityresearch', 'boron nitride gallium oxide', 'bandgap semiconductor', 'high power', 'electronic photonic', 'previous position senior scientist', 'including high', 'photonic device', 'fabrication novel high power electronic photonic device', 'study ultra', 'ultra wide', 'fabrication novel', 'ph texas', 'computer simulation device', 'nitride gallium', 'universityresearch growth', 'previous position', 'boron nitride', 'simulation device', 'gallium oxide', 'power electronic', 'senior scientist', 'computer simulation', 'sensor electronic', 'semiconductor including', 'sensor electronic technology'}"
2,"Alexeev, Oleg S.","{'boreskov institute catalysis', 'characterization catalytic', 'structure catalytic', 'technique along', 'data used', 'dependence catalytic', 'ph', 'catalytic data', 'pursued application', 'take place', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique', 'cluster aggregate', 'adsorbed reactant', 'used establish', 'focused fundamental', 'surface take', 'elementary reaction', 'spectroscopic technique', 'actual condition', 'experimental method', 'uv visible', 'cluster particle', 'xrd', 'structure metal', 'process surface', 'tpr', 'establish dependence', 'including tpd', 'understanding structure', 'chemisorption catalytic', 'metal support', 'support interface', 'fundamental understanding', 'novosibirsk', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'structure metal support interface', 'exafs', 'material spectroscopic', 'property metal', 'influence promoter', 'information gained', 'used characterize', 'program pursued', 'catalyst surface', 'characterize active', 'sequence elementary', 'aggregate objective', 'hrtem', 'method characterization', 'involving adsorbed', 'particle size', 'cluster support', 'specie actual', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'novosibirsk state', 'along chemisorption', 'russiacatalytic process', 'xps', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'adsorbed specie', 'structure active site', 'goal focused', 'structure metal cluster support', 'objective program', 'catalytic property', 'catalyst adsorbed', 'various experimental', 'metal cluster', 'supported metal', 'catalysis considerable', 'active site', 'product', 'condition catalysis', 'boreskov institute', 'reaction intermediate', 'combination various', 'institute catalysis', 'catalytic material', 'intermediate associated', 'ftir', 'associated active', 'surface goal', 'site catalyst', 'promoter structure', 'place sequence', 'property supported', 'application combination', 'structure active', 'russiam', 'considerable information', 'gained technique', 'reaction involving'}"
3,"Ali, Mohammod","{'electronic engineering', 'main streetcolumbia', 'sc mohammod ali professor department electrical engineering usc july', 'mohammod ali', 'system directorate', 'assignment division', 'canada', 'intergovernmental personnel', 'bangladesh engineering', 'dhaka received sc ph degree electrical engineering', 'working program', 'engineering prof', 'electrical engineering', 'division electrical', 'dhaka received', 'act assignment', 'engineering technology', 'program director', 'prof ali', 'sc electrical', 'sc ph', 'ph degree', 'science foundation', 'british columbia', 'engineering usc', 'ali professor', 'national science', 'engineering bangladesh', 'swearingenroom main streetcolumbia', 'nsf ipa', 'personnel act', 'department electrical', 'cyber system', 'foundation nsf', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology', 'electrical electronic', 'ali received', 'communication', 'respectively victoria', 'degree electrical', 'received sc', 'director national', 'ipa intergovernmental', 'directorate engineering', 'professor department', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'ha working', 'sc mohammod', 'swearingenroom main', 'usc july'}"
4,"Ammal, Salai C.","{'ammal pdfph', 'cv dr ammal pdfph', 'dr ammal', 'india', 'cv dr', 'bharathidasan'}"
5,"Bakos, Jason D. ","{'high performance computing', 'computer architecture', 'heterogeneous computing', 'high performance', 'performance computing', 'embedded system', 'reconfigurable computing'}"
6,"Banerjee, Sourav ","{'ultrasonics', 'wave propagation', 'acoustic', 'metamaterials', 'biomedical'}"
7,"Bayat, Mahmoud","{'health monitoring', 'structural health monitoring', 'earthquake eng', 'probabilistic analysis', 'nonlinear vibration', 'structural health', 'machine learning'}"
8,"Bayoumi, Abdel-Moez E. ","{'tribology', 'manufacturing process', 'manager hewlett', 'director center predictive maintenance', 'aerospace engineering', 'ha actively', 'life prediction', 'conference paper', 'project manager', 'prediction mechanical', 'diagnosis prognosis', 'engineering north', 'monitoring system', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'associate dean', 'transformation dr', 'relation professor', 'health monitoring', 'wa professor', 'various industry', 'nuclear aerospace engineering activity focused mechanical behavior material', 'mechanical system', 'department energy', 'received funding', 'project manager hewlett packard company', 'focused mechanical', 'funding department', 'involved developing', 'digital transformation', 'mechanical biomedical', 'published journal', 'ha received', 'wa professor mechanical aerospace engineering north state', 'hewlett packard', 'industry experience', 'sc bayoumi', 'bayoumi ha', 'industry experience currently director mcnair aerospace center', 'corporate relation', 'predictive maintenance', 'packard company', 'washington state', 'ha year', 'engineering activity', 'material engineering', 'developing strong', 'center predictive', 'behavior material', 'year teaching', 'director mcnair', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'science foundation', 'director center', 'professor mechanical', 'diagnosis prognosis life prediction mechanical system', 'engineering washington', 'foundation various', 'state ha', 'aerospace center', 'ha published', 'mechanical material', 'experience currently', 'engineering prior', 'dean corporate', 'based maintenance', 'industry ha', 'prognosis life', 'currently director', 'national science foundation various industry ha published journal conference paper', 'mechanical behavior', 'journal conference', 'activity focused', 'mechanical aerospace', 'digital transformation dr bayoumi ha received funding department defense', 'dr bayoumi', 'main streetroom', 'sc bayoumi ha year teaching', 'biomedical engineering', 'mcnair aerospace', 'nuclear aerospace', 'program mechanical', 'national science', 'condition based', 'actively involved', 'prior joining', 'health monitoring system', 'joining usc', 'condition based maintenance', 'department defense', 'biomedical', 'north state', 'strong program'}"
9,"Benigni, Andrea","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
10,"Berge, Nicole D.","{'resource recovery', 'waste increasing', 'leachate treatment', 'development subsequent', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'lead carbon', 'sustainable waste', 'energy yield', 'landfill thermochemical', 'yield waste', 'product endocrine', 'endocrine disrupting', 'innovative groundwater', 'disrupting compound', 'process development', 'chemical', 'promote sustainable', 'understanding physical', 'energy generation', 'product production', 'treatment process', 'manipulated promote', 'process manipulated', 'added product', 'berge focus', 'waste treatment', 'increasing energy', 'treatment technique', 'evaluation innovative', 'municipal solid', 'bioreactor landfill', 'production specific', 'carbon sequestration', 'personal care', 'specific area', 'stream leachate', 'groundwater remediation', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'exploration fate', 'main street', 'fate disposed', 'waste stream', 'compound bioreactor', 'value added', 'stream resource', 'subsequent evaluation', 'recovery waste', 'conversion municipal', 'biological process', 'focus improving', 'technique lead', 'pharmaceutical', 'improving understanding', 'room berge', 'remediation technology', 'care product', 'thermochemical conversion', 'area exploration', 'disposed nanomaterials', 'room berge focus improving understanding physical', 'value added product production specific area exploration fate disposed nanomaterials', 'solid waste'}"
11,"Besmann, Theodore  M.","{'nuclear fuel waste material', 'waste material', 'fuel waste', 'nuclear fuel'}"
