,researcher_name,skills
0,"Agostinelli, Forest","{'reinforcement learning', 'bioinformatics', 'artificial intelligence', 'search', 'deep learning'}"
1,"Ahmad, Iftikhar","{'ultra wide', 'aluminum content', 'senior scientist', 'electronic photonic', 'bandgap semiconductor', 'boron nitride gallium oxide', 'position senior', 'inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan', 'study ultra', 'high aluminum', 'texas tech', 'wide bandgap', 'content algan', 'high power', 'novel high', 'boron nitride', 'gallium oxide', 'nitride gallium', 'computer simulation', 'previous position senior scientist', 'power electronic', 'tech universityresearch', 'fabrication novel high power electronic photonic device', 'computer simulation device', 'sensor electronic', 'fabrication novel', 'photonic device', 'electronic technology', 'universityresearch growth', 'inc ph', 'growth study', 'semiconductor including', 'ph texas', 'including high', 'previous position', 'simulation device', 'sensor electronic technology'}"
2,"Alexeev, Oleg S.","{'structure metal', 'institute catalysis', 'aggregate objective', 'considerable information', 'characterization catalytic', 'cluster particle', 'chemisorption catalytic', 'catalytic property', 'structure active site', 'site catalyst', 'cluster support', 'data used', 'xrd', 'along chemisorption', 'structure metal cluster support', 'pursued application', 'adsorbed reactant', 'structure active', 'xps', 'reaction involving', 'tpr', 'cluster aggregate', 'characterize active', 'intermediate associated', 'technique along', 'establish dependence', 'experimental method', 'ph', 'objective program', 'promoter structure', 'russiam', 'process surface', 'russiacatalytic process surface take place sequence elementary reaction involving adsorbed reactant', 'surface take', 'particle size', 'various experimental', 'supported metal', 'condition catalysis', 'influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique', 'structure catalytic', 'catalyst surface', 'novosibirsk', 'catalysis considerable', 'hrtem', 'property supported', 'take place', 'support interface', 'structure metal support interface', 'exafs', 'goal focused', 'boreskov institute', 'place sequence', 'method characterization', 'involving adsorbed', 'catalytic data', 'combination various', 'boreskov institute catalysis', 'program pursued', 'catalyst adsorbed', 'focused fundamental', 'used characterize', 'elementary reaction', 'specie actual', 'reaction intermediate associated active site catalyst surface goal focused fundamental understanding structure metal support interface', 'application combination', 'reaction intermediate', 'dependence catalytic', 'understanding structure', 'metal support', 'adsorbed specie', 'including tpd', 'metal cluster', 'influence promoter', 'catalytic material', 'information gained', 'ftir', 'material spectroscopic', 'fundamental understanding', 'used characterize active site catalyst adsorbed specie actual condition catalysis considerable information gained technique along chemisorption catalytic data used establish dependence catalytic property metal cluster particle size', 'associated active', 'active site', 'uv visible', 'sequence elementary', 'surface goal', 'spectroscopic technique', 'russiacatalytic process', 'property metal', 'used establish', 'actual condition', 'novosibirsk state', 'product', 'gained technique'}"
3,"Ali, Mohammod","{'sc mohammod ali professor department electrical engineering usc july', 'respectively victoria', 'ali professor', 'act assignment', 'dhaka received', 'sc ph', 'sc electrical', 'electronic engineering', 'ipa intergovernmental', 'cyber system directorate engineering prof ali received sc electrical electronic engineering bangladesh engineering technology', 'bangladesh engineering', 'mohammod ali', 'cyber system', 'program director', 'ha working program director national science foundation nsf ipa intergovernmental personnel act assignment division electrical', 'personnel act', 'working program', 'electrical electronic', 'swearingenroom main', 'ali received', 'communication', 'director national', 'system directorate', 'engineering bangladesh', 'ha working', 'usc july', 'engineering prof', 'engineering usc', 'nsf ipa', 'degree electrical', 'electrical engineering', 'canada', 'ph degree', 'assignment division', 'swearingenroom main streetcolumbia', 'foundation nsf', 'received sc', 'directorate engineering', 'engineering technology', 'division electrical', 'department electrical', 'national science', 'science foundation', 'main streetcolumbia', 'dhaka received sc ph degree electrical engineering', 'sc mohammod', 'intergovernmental personnel', 'prof ali', 'british columbia', 'professor department'}"
4,"Ammal, Salai C.","{'ammal pdfph', 'cv dr ammal pdfph', 'dr ammal', 'cv dr', 'bharathidasan', 'india'}"
5,"Bakos, Jason D. ","{'performance computing', 'high performance', 'high performance computing', 'computer architecture', 'heterogeneous computing', 'reconfigurable computing', 'embedded system'}"
6,"Banerjee, Sourav ","{'ultrasonics', 'acoustic', 'metamaterials', 'biomedical', 'wave propagation'}"
7,"Bayat, Mahmoud","{'probabilistic analysis', 'structural health monitoring', 'health monitoring', 'earthquake eng', 'nonlinear vibration', 'structural health', 'machine learning'}"
8,"Bayoumi, Abdel-Moez E. ","{'industry experience currently director mcnair aerospace center', 'experience currently', 'predictive maintenance', 'engineering activity', 'mechanical material', 'corporate relation', 'professor mechanical material engineering washington state ha actively involved developing strong program mechanical', 'packard company', 'department energy', 'joining usc', 'nuclear aerospace', 'ha year', 'material engineering', 'focused mechanical', 'north state', 'engineering washington', 'associate dean corporate relation professor mechanical biomedical engineering prior joining usc', 'condition based maintenance', 'sc bayoumi ha year teaching', 'prediction mechanical', 'foundation various', 'digital transformation dr bayoumi ha received funding department defense', 'national science', 'wa professor mechanical aerospace engineering north state', 'currently director', 'state ha', 'sc bayoumi', 'tribology', 'published journal', 'department defense', 'funding department', 'prior joining', 'life prediction', 'health monitoring', 'prognosis life', 'bayoumi ha', 'involved developing', 'project manager', 'mcnair aerospace', 'main streetroom', 'wa professor', 'industry experience', 'developing strong', 'journal conference', 'mechanical biomedical', 'ha actively', 'national science foundation various industry ha published journal conference paper', 'program mechanical', 'actively involved', 'industry ha', 'various industry', 'mechanical behavior', 'mechanical aerospace', 'dr bayoumi', 'mechanical system', 'year teaching', 'activity focused', 'conference paper', 'project manager hewlett packard company', 'based maintenance', 'dean corporate', 'director mcnair', 'monitoring system', 'engineering prior', 'diagnosis prognosis life prediction mechanical system', 'director center predictive maintenance', 'ha received', 'ha published', 'director center', 'aerospace center', 'condition based', 'nuclear aerospace engineering activity focused mechanical behavior material', 'washington state', 'professor mechanical', 'behavior material', 'manager hewlett', 'center predictive', 'manufacturing process', 'received funding', 'aerospace engineering', 'biomedical', 'digital transformation', 'relation professor', 'associate dean', 'health monitoring system', 'engineering north', 'transformation dr', 'science foundation', 'biomedical engineering', 'hewlett packard', 'diagnosis prognosis', 'strong program'}"
9,"Benigni, Andrea","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
