nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Saugata Hazra', 'Prince Tiwari', 'Sonal Atreya', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Avlokita Agrawal', 'Jitin Singla', 'Sonal Atreya', 'Saugata Hazra']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Sanjoy Ghosh', 'Partha Roy', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Saptarshi Kolay', 'Partha Roy', 'Rajan Arora']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Gaurav Raheja', 'Prince Tiwari', 'Akhil Upadhyay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Deepak Sharma', 'Gaurav Raheja', 'Prabhat Kumar Mandal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Avlokita Agrawal', 'Debabrata Sircar', 'Srinivas Kiran Ambatipudi', 'Uttam Kumar Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Harsh Chauhan', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Shri Ram Yadav', 'Ranjana Pathania']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['Arindam Biswas', 'Prabhjot Singh Chani', 'Uttam Kumar Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'R. P. Singh', 'Shubhajit Sadhukhan', 'Harshit Sosan Lakra', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Arindam Biswas', 'Smriti Saraswat', 'Jaydev Dabas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Sanjoy Ghosh', 'Tina Pujara']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Jaydev Dabas', 'R. P. Singh', 'Shailly Tomar', 'P Gopinath']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ramasare Prasad', 'P Gopinath', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Bijan Choudhury', 'Ram Sateesh Pasupuleti']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Ranjana Pathania', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Rajan Arora', 'Saugata Hazra']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['Avlokita Agrawal', 'Jaydev Dabas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Deepak Sharma', 'Arindam Biswas', 'Mahua Mukherjee', 'Poonam Choudhary']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Deepak Sharma', 'Shri Ram Yadav', 'N K Navani', 'Ranjana Pathania']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Arindam Biswas', 'Srinivas Kiran Ambatipudi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'E Rajasekar', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Arindam Biswas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Srinivas Kiran Ambatipudi', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Rajesh Kumar', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Ranjana Pathania']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['Gaurav Raheja', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Prabhjot Singh Chani', 'Prabhat Kumar Mandal', 'N K Navani', 'Tina Pujara']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Tina Pujara', 'Shailly Tomar', 'Ram Sateesh Pasupuleti', 'Rajan Arora']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Sonal Atreya', 'Bijan Choudhury']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'P Gopinath', 'Tina Pujara', 'Maya S.Nair']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Tina Pujara', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'P Gopinath', 'Jaydev Dabas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Tina Pujara', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Ramasare Prasad', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Deepak Sharma', 'Saptarshi Kolay', 'Prabhjot Singh Chani', 'Sachin Suresh Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Uttam Kumar Roy', 'Soma Rohatgi', 'Shri Ram Yadav', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Gaurav Raheja', 'Srinivas Kiran Ambatipudi', 'R. P. Singh', 'Ramasare Prasad']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Shubhajit Sadhukhan', 'Ramasare Prasad', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Shubhajit Sadhukhan', 'R. P. Singh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'P Gopinath', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'N K Navani', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Soma Rohatgi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Rajan Arora']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Soma Rohatgi', 'Gaurav Raheja', 'Ashwani Kumar Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Harsh Chauhan', 'Shubhajit Sadhukhan']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Shri Ram Yadav', 'Rajan Arora', 'Debabrata Sircar', 'Pravindra Kumar']"
